marca;familia;tipo;unidade;qtd;capacidade_tanque_L;media_esperada;tolerancia_pct;ref_tanque_p95_L;ref_media_historica;veiculos_com_historico;modelos_incluidos;exemplos
VOLKSWAGEN;31.330;Caçamba Traçado;L/h;1;275;6;20;253;;0;31.330 CRC 6X4;RE620
VOLKSWAGEN;32.380;Caçamba Traçado;L/h;1;275;6;20;240;12.48;1;32.380 CRC 6X4;RE785
VOLKSWAGEN;DIVERSOS;Automóvel;Km/L;1;;;;200;;0;DIVERSOS;VAL2025
VOLKSWAGEN;KOMBI;Automóvel;Km/L;1;45;8;20;;;0;KOMBI STD1.4;RE538
VOLKSWAGEN;POLO;Automóvel;Km/L;1;52;10;20;39;9.71;1;POLO 1.6;RE530
VOLKSWAGEN;SEVEIRO;Camionete;Km/L;1;55;10;20;54;11.19;1;SEVEIRO ROBUST MBVS;RE728
VOLVO;FH 440;Cavalo;L/h;1;700;5;20;557;0.79;1;FH 440 6X2;RE571
VOLVO;VM 270;Caçamba Truckado;L/h;1;300;6;20;276;5.74;1;VM 270 6X2R;IVO7C01
VOLVO;VM 330;Caçamba Traçado;L/h;1;300;6;20;;;0;VM 330 6X4R;JBC4C57
VOLVO;VM 330;Caminhão Prancha;Km/L;1;300;6;20;517;2.59;1;VM 330 8X2 BITRUCK;RE516
XCMG;3000;Retroescavadeira;L/h;1;130;8;20;;;0;3000;3TESTE
XCMG;GR1803BR;Caçamba Truckado;L/h;1;240;20;20;;;0;GR1803BR;Teste
XCMG;LW600KV;Pá Carregadeira;L/h;1;300;60;20;268;;0;LW600KV;RE699
XCMG;XS 141;Rolo;L/h;1;240;10;20;200;;0;XS 141 PD;RE235
XCMG;XS141PD;Rolo;L/h;1;240;10;20;;;0;XS141PD;RE153
XCMG;XS142PD;Rolo;L/h;1;240;10;20;;;0;XS142PD;RE239
YUNDAI;PEDERIVA;Escavadeira;L/h;1;;;;500;;0;PEDERIVA;ESC 3
